Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,Number of employees,,Full-time equivalent employment,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,State and type of government
"States-local, total",16435105,2129988,1972915,2039299,12.4,977613,883878,921124,45.2,438273,397946,414629,20.3,714102,691091,703546,34.5,"States-local, total"
State,4360635,727269,707321,717774,16.5,103282,100361,101421,14.1,179223,170762,175205,24.4,444764,436198,441148,61.5,State
"Local, total",12074470,1402719,1265594,1321525,10.9,874331,783517,819703,62,259050,227184,239424,18.1,269338,254893,262398,19.9,"Local, total"
Counties,2706499,714578,651587,677436,25,289281,260435,271121,40,197164,175984,184574,27.2,228133,215168,221741,32.7,Counties
Municipalities,2970595,647568,582771,609979,20.5,551025,496560,519591,85.2,59066,49978,53363,8.7,37477,36233,37025,6.1,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,280681,28180,25815,26963,9.6,14821,13561,14149,52.5,5076,4439,4731,17.5,8283,7815,8083,30,Alabama
State,90141,9134,8580,8903,9.9,1303,1284,1291,14.5,3167,2855,3048,34.2,4664,4441,4564,51.3,State
"Local, total",190540,19046,17235,18060,9.5,13518,12277,12858,71.2,1909,1584,1683,9.3,3619,3374,3519,19.5,"Local, total"
Counties,20501,8384,7415,7835,38.2,4064,3522,3752,47.9,1121,933,983,12.5,3199,2960,3100,39.6,Counties
Municipalities,40511,10662,9820,10225,25.2,9454,8755,9106,89.1,788,651,700,6.8,420,414,419,4.1,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,52704,5846,5622,5723,10.9,1987,1857,1904,33.3,1512,1469,1489,26,2347,2296,2330,40.7,Alaska
State,25073,4360,4228,4287,17.1,683,640,650,15.2,1406,1366,1382,32.2,2271,2222,2255,52.6,State
"Local, total",27631,1486,1394,1436,5.2,1304,1217,1254,87.3,106,103,107,7.5,76,74,75,5.2,"Local, total"
Boroughs,11228,157,149,153,1.4,112,104,107,69.9,33,33,34,22.2,12,12,12,7.8,Boroughs
Municipalities,15778,1329,1245,1283,8.1,1192,1113,1147,89.4,73,70,73,5.7,64,62,63,4.9,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,281548,46393,45406,45886,16.3,19829,19513,19659,42.8,11307,10805,11051,24.1,15257,15088,15176,33.1,Arizona
State,72316,14079,13952,14009,19.4,1963,1919,1932,13.8,2416,2346,2383,17,9700,9687,9694,69.2,State
"Local, total",209232,32314,31454,31877,15.2,17866,17594,17727,55.6,8891,8459,8668,27.2,5557,5401,5482,17.2,"Local, total"
Counties,32446,18551,17986,18274,56.3,5820,5732,5769,31.6,7268,6946,7117,38.9,5463,5308,5388,29.5,Counties
Municipalities,45035,13763,13468,13603,30.2,12046,11862,11958,87.9,1623,1513,1551,11.4,94,93,94,0.7,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,170174,21452,19879,20465,12,9289,8552,8822,43.1,3864,3220,3446,16.8,8299,8107,8197,40.1,Arkansas
State,62476,8453,8292,8372,13.4,1223,1207,1214,14.5,1667,1528,1599,19.1,5563,5557,5559,66.4,State
"Local, total",107698,12999,11587,12093,11.2,8066,7345,7608,62.9,2197,1692,1847,15.3,2736,2550,2638,21.8,"Local, total"
Counties,13959,6865,5881,6184,44.3,2593,2194,2293,37.1,1613,1206,1325,21.4,2659,2481,2566,41.5,Counties
Municipalities,20791,6134,5706,5909,28.4,5473,5151,5315,89.9,584,486,522,8.8,77,69,72,1.2,Municipalities
,,,,,,,,,,,,,,,,,,
California,1814756,240421,228561,234667,12.9,104146,97476,100558,42.9,45355,43235,44365,18.9,90920,87850,89744,38.2,California
State,414679,75822,73341,74779,18,11444,11176,11216,15,6569,6127,6329,8.5,57809,56038,57234,76.5,State
"Local, total",1400077,164599,155220,159888,11.4,92702,86300,89342,55.9,38786,37108,38036,23.8,33111,31812,32510,20.3,"Local, total"
Counties,390353,107999,103303,105887,27.1,41627,39653,40761,38.5,34962,33435,34283,32.4,31410,30215,30843,29.1,Counties
Municipalities,224950,56600,51917,54001,24,51075,46647,48581,90,3824,3673,3753,6.9,1701,1597,1667,3.1,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,293546,35674,33843,34805,11.9,15992,15272,15580,44.8,8151,7296,7809,22.4,11531,11275,11416,32.8,Colorado
State,87844,13878,13317,13770,15.7,1274,1257,1265,9.2,5191,4702,5096,37,7413,7358,7409,53.8,State
"Local, total",205702,21796,20526,21035,10.2,14718,14015,14315,68.1,2960,2594,2713,12.9,4118,3917,4007,19,"Local, total"
Counties,29578,9618,8989,9206,31.1,4930,4651,4736,51.4,1583,1432,1479,16.1,3105,2906,2991,32.5,Counties
Municipalities,48244,12178,11537,11829,24.5,9788,9364,9579,81,1377,1162,1234,10.4,1013,1011,1016,8.6,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,193152,23233,21499,22038,11.4,10989,9667,10072,45.7,6410,6067,6167,28,5834,5765,5799,26.3,Connecticut
State,62863,14197,13574,13725,21.8,2142,1905,1938,14.1,6221,5904,5988,43.6,5834,5765,5799,42.3,State
"Local, total",130289,9036,7925,8313,6.4,8847,7762,8134,97.8,189,163,179,2.2,0,0,0,0,"Local, total"
Municipalities,58660,5170,4633,4872,8.3,5026,4501,4731,97.1,144,132,141,2.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,49282,7584,7283,7461,15.1,2692,2491,2606,34.9,1948,1888,1925,25.8,2944,2904,2930,39.3,Delaware
State,25881,5879,5778,5843,22.6,1100,1088,1095,18.7,1835,1786,1818,31.1,2944,2904,2930,50.1,State
"Local, total",23401,1705,1505,1618,6.9,1592,1403,1511,93.4,113,102,107,6.6,0,0,0,0,"Local, total"
Counties,2644,685,530,624,23.6,608,457,549,88,77,73,75,12,0,0,0,0,Counties
Municipalities,2787,1014,975,994,35.7,978,946,962,96.8,36,29,32,3.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,47698,7734,7651,7726,16.2,4350,4349,4350,56.3,2025,1967,2018,26.1,1359,1335,1358,17.6,District of Columbia
"Local, total",47698,7734,7651,7726,16.2,4350,4349,4350,56.3,2025,1967,2018,26.1,1359,1335,1358,17.6,"Local, total"
Municipality,35531,7734,7651,7726,21.7,4350,4349,4350,56.3,2025,1967,2018,26.1,1359,1335,1358,17.6,Municipality
,,,,,,,,,,,,,,,,,,
Florida,885649,136966,129968,132892,15,64500,59159,61250,46.1,31773,30590,31194,23.5,40693,40219,40448,30.4,Florida
State,178571,48022,46826,47381,26.5,4410,4098,4206,8.9,19872,19181,19544,41.2,23740,23547,23631,49.9,State
"Local, total",707078,88944,83142,85511,12.1,60090,55061,57044,66.7,11901,11409,11650,13.6,16953,16672,16817,19.7,"Local, total"
Counties,173201,64355,60108,61713,35.6,36941,33420,34677,56.2,11374,10910,11127,18,16040,15778,15909,25.8,Counties
Municipalities,90649,24589,23034,23798,26.3,23149,21641,22367,94,527,499,523,2.2,913,894,908,3.8,Municipalities
,,,,,,,,,,,,,,,,,,
Georgia,513462,71333,66003,68331,13.3,28451,26706,27461,40.2,15760,13300,14311,20.9,27122,25997,26559,38.9,Georgia
State,128151,22783,21832,22298,17.4,2625,2559,2593,11.6,3571,3481,3521,15.8,16587,15792,16184,72.6,State
"Local, total",385311,48550,44171,46033,11.9,25826,24147,24868,54,12189,9819,10790,23.4,10535,10205,10375,22.5,"Local, total"
Counties,66801,31107,28058,29337,43.9,11907,11146,11449,39,10292,8319,9140,31.2,8908,8593,8748,29.8,Counties
Municipalities,50280,17443,16113,16696,33.2,13919,13001,13419,80.4,1897,1500,1650,9.9,1627,1612,1627,9.7,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,75694,9957,9735,9800,12.9,4182,4047,4076,41.6,3414,3336,3368,34.4,2361,2352,2356,24,Hawaii
State,58777,5062,4991,5019,8.5,0,0,0,0,2701,2639,2663,53.1,2361,2352,2356,46.9,State
"Local, total",16917,4895,4744,4781,28.3,4182,4047,4076,85.3,713,697,705,14.7,0,0,0,0,"Local, total"
Counties,6300,1595,1518,1538,24.4,1323,1252,1270,82.6,272,266,268,17.4,0,0,0,0,Counties
Municipalities,10426,3300,3226,3243,31.1,2859,2795,2806,86.5,441,431,437,13.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,82134,10845,10085,10373,12.6,4238,3961,4048,39,2339,2119,2212,21.3,4268,4005,4113,39.7,Idaho
State,24025,3502,3411,3450,14.4,500,482,490,14.2,586,533,553,16,2416,2396,2407,69.8,State
"Local, total",58109,7343,6674,6923,11.9,3738,3479,3558,51.4,1753,1586,1659,24,1852,1609,1706,24.6,"Local, total"
Counties,9477,4986,4446,4655,49.1,1531,1382,1427,30.7,1604,1455,1522,32.7,1851,1609,1706,36.6,Counties
Municipalities,9199,2357,2228,2268,24.7,2207,2097,2131,94,149,131,137,6,1,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
