Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments by activity and state",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments by activity and state",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal 2016",,,,"Full-time equivalent justice employment per 10,000 population, March 2016",,,,
,,,,,,,Police protection,,,
State,Population 2016,Total justice system,Police Protection,Judicial and legal,Corrections,Total justice system,Total,Sworn only,Judicial and legal,Corrections
Total,323071342,722.7,338.04,143.18,241.48,63.12,28.51,21.73,12.83,21.78
,,,,,,,,,,
Alabama,4864745,480.11,257.21,74.43,148.47,55.43,29.08,23,9.73,16.62
Alaska,741504,1297.65,499.27,342.55,455.84,77.18,25.68,15.58,20.08,31.42
Arizona,6945452,709.77,325.62,141.59,242.56,66.07,28.3,20.43,15.91,21.85
Arkansas,2990410,503.99,231.09,73.68,199.21,68.44,29.5,22.11,11.52,27.41
California,39209127,1063.89,448.11,221.27,394.51,59.85,25.65,18.27,11.31,22.89
,,,,,,,,,,
Colorado,5540921,711.18,338.09,136.11,236.98,62.81,28.12,19.81,14.09,20.6
Connecticut,3578674,767.9,345.66,231.06,191.18,61.58,28.14,22.43,17.23,16.2
Delaware,949216,910.6,366.65,219.12,324.84,78.6,27.45,21.58,20.28,30.87
District of Columbia,686575,1268.29,864.21,193.01,211.07,112.53,63.36,54.85,29.39,19.78
Florida,20629982,701.08,380.44,114.7,205.94,64.42,29.69,19.78,15.12,19.61
,,,,,,,,,,
Georgia,10304763,568.02,263.81,117.93,186.28,66.31,26.65,21.33,13.89,25.77
Hawaii,1428105,679.89,321.41,206.21,152.27,68.62,28.54,22.12,23.58,16.5
Idaho,1682930,593.95,271.63,118.67,203.64,61.64,24.05,16.55,13.14,24.44
Illinois,12826895,671.84,406.65,120.78,144.41,60.34,31.95,25.49,10.68,17.71
Indiana,6633344,450.08,189.2,86.2,174.68,53.15,23.61,17.99,11.39,18.14
,,,,,,,,,,
Iowa,3131785,504.91,248.6,114.46,141.86,47.08,22.95,17.32,10.15,13.98
Kansas,2911263,564.97,274.42,113.44,177.11,66.26,31.24,22.14,13.23,21.79
Kentucky,4438229,505.74,160.32,141.84,203.58,55.93,21.95,17.2,16.05,17.92
Louisiana,4678215,741.85,345.07,153.43,243.34,79.39,37.75,28.8,15.42,26.22
Maine,1331370,504.4,221.53,84.49,198.39,42.66,21.34,17.34,7.29,14.03
,,,,,,,,,,
Maryland,6004692,912.84,441.17,155.37,316.3,71.7,31.73,23.08,14.21,25.76
Massachusetts,6826022,689.91,366.53,159.38,164,61.35,29.64,24.1,13.99,17.72
Michigan,9951890,620.48,252.1,115.04,253.35,49.58,20.81,16.68,10.77,18
Minnesota,5523409,663.84,348.04,132.43,183.37,51.89,22.52,16.53,11.43,17.95
Mississippi,2988298,507.07,248.46,92,166.61,57.69,32.37,24.3,8.92,16.4
,,,,,,,,,,
Missouri,6087203,536.46,286.44,92.24,157.78,67.9,30.41,22.74,12.74,24.75
Montana,1040863,729.41,278.9,203.06,247.45,59.66,25.39,17.39,15.93,18.34
Nebraska,1905924,600.27,240.71,97.48,262.08,60.62,26.11,19.32,11.06,23.45
Nevada,2919772,812.32,405.63,162.91,243.78,60.66,26.6,17.18,14.73,19.32
New Hampshire,1342373,546.03,293.32,104.86,147.84,50.31,28.67,21.96,8.05,13.6
,,,,,,,,,,
New Jersey,8874516,791.11,388.21,172.68,230.22,76.64,38.7,29.95,21.54,16.4
New Mexico,2092789,824.87,334.82,157.37,332.68,76.91,29.69,22.62,17.54,29.68
New York,19641589,1048.95,505.16,211.65,332.14,86.98,44.03,38.35,15.9,27.05
North Carolina,10156679,576.85,322.1,75.23,179.52,60.49,27.51,22.46,7.43,25.55
North Dakota,754353,675.36,275.78,167.42,232.15,58.5,25.09,20.95,12.99,20.41
,,,,,,,,,,
Ohio,11635003,656.22,333.68,150.09,172.46,62.78,26.98,20.28,17.03,18.77
Oklahoma,3926769,558.29,271.19,95.56,191.54,57.15,29.57,20.95,10.8,16.78
Oregon,4091404,808.33,321.55,189.5,297.27,54.55,21.79,14.58,11.51,21.25
Pennsylvania,12783538,714.15,290.79,148.86,274.49,63.48,25.13,20.88,14.17,24.18
Rhode Island,1057063,760.94,412.11,138.7,210.13,54.64,28.92,22.89,12.02,13.7
,,,,,,,,,,
South Carolina,4958235,465.48,240.77,72.35,152.37,60.16,28.45,22.72,9.68,22.03
South Dakota,862890,547.21,233.25,105.77,208.19,53.08,24.34,19.46,11.47,17.27
