Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t10.csv,,,,,,,,,,
"Table 10. Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2016",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,
,,,,,,,,,,
"Table 10. Detail of direct expenditure for correctional activities of state governments by character and object, fiscal 2016",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,Institutions,,,,,,,,
,,,,Capital outlay,,,Other corrections,,,
State,Total corrections direct expenditure,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,Total,Direct current,Capital outlay,Percent of total corrections direct expenditure
Total,49040096,42084227,40384793,1196356,503078,85.8,6955869,6875732,80137,14.2
,,,,,,,,,,
Alabama,504743,455024,440590,4007,10427,90.1,49719,48331,1388,9.9
Alaska,332238,304532,290413,4344,9775,91.7,27706,27706,0,8.3
Arizona,1035468,986648,975203,1146,10299,95.3,48820,48758,62,4.7
Arkansas,428673,358340,357972,368,0,83.6,70333,70333,0,16.4
California,9382122,8378183,7649746,726980,1457,89.3,1003939,1003939,0,10.7
,,,,,,,,,,
Colorado,895873,723425,701731,3098,18596,80.8,172448,171830,618,19.2
Connecticut,684159,666308,662552,2354,1402,97.4,17851,17542,309,2.6
Delaware,308341,254390,253480,33,877,82.5,53951,53173,778,17.5
Florida,2308698,1805130,1787256,8727,9147,78.2,503568,499087,4481,21.8
Georgia,1194117,936685,901055,28419,7211,78.4,257432,251935,5497,21.6
,,,,,,,,,,
Hawaii,217459,213412,212572,1,839,98.1,4047,4040,7,1.9
Idaho,258502,256055,247420,653,7982,99.1,2447,2380,67,0.9
Illinois,1056155,1023281,1006323,16574,384,96.9,32874,32247,627,3.1
Indiana,671698,653720,645380,2681,5659,97.3,17978,17464,514,2.7
Iowa,294006,278345,272713,3609,2023,94.7,15661,15479,182,5.3
,,,,,,,,,,
Kansas,310182,275902,266134,3636,6132,88.9,34280,33770,510,11.1
Kentucky,612957,558845,557646,502,697,91.2,54112,54074,38,8.8
Louisiana,498089,388949,377770,10045,1134,78.1,109140,108528,612,21.9
Maine,166878,152619,145883,5914,822,91.5,14259,14259,0,8.5
Maryland,1473947,1192282,1135273,50306,6703,80.9,281665,278238,3427,19.1
,,,,,,,,,,
Massachusetts,1119463,1008193,958159,40454,9580,90.1,111270,110695,575,9.9
Michigan,1870535,1578807,1576569,331,1907,84.4,291728,291236,492,15.6
Minnesota,548778,365224,339119,2221,23884,66.6,183554,182835,719,33.4
Mississippi,294290,293048,290289,277,2482,99.6,1242,1242,0,0.4
Missouri,774511,631429,618169,7475,5785,81.5,143082,142652,430,18.5
,,,,,,,,,,
Montana,212206,130678,128653,0,2025,61.6,81528,81013,515,38.4
Nebraska,362811,109249,106576,2525,148,30.1,253562,252086,1476,69.9
Nevada,276677,222177,209398,8864,3915,80.3,54500,52577,1923,19.7
New Hampshire,122052,112661,107084,4628,949,92.3,9391,9318,73,7.7
New Jersey,1348277,994383,982353,9120,2910,73.8,353894,342161,11733,26.2
,,,,,,,,,,
New Mexico,474233,323387,321431,0,1956,68.2,150846,150595,251,31.8
New York,3247108,3056251,2783465,105456,167330,94.1,190857,186633,4224,5.9
North Carolina,1256922,1100199,1081509,6867,11823,87.5,156723,155673,1050,12.5
North Dakota,100556,100532,99264,0,1268,100,24,24,0,0
Ohio,1537482,1199517,1129148,63731,6638,78,337965,337285,680,22
,,,,,,,,,,
Oklahoma,569835,534698,528775,874,5049,93.8,35137,34511,626,6.2
Oregon,711688,547607,536246,337,11024,76.9,164081,162886,1195,23.1
Pennsylvania,2047717,1921235,1902202,10239,8794,93.8,126482,125493,989,6.2
Rhode Island,201516,175578,170695,4575,308,87.1,25938,25701,237,12.9
South Carolina,501440,460575,455933,4642,0,91.9,40865,40865,0,8.1
,,,,,,,,,,
South Dakota,125080,118065,116752,700,613,94.4,7015,7015,0,5.6
Tennessee,709434,617200,605631,22,11547,87,92234,91818,416,13
Texas,3708287,3455791,3379016,4123,72652,93.2,252496,251637,859,6.8
Utah,342621,193973,188614,1063,4296,56.6,148648,144654,3994,43.4
Vermont,136813,69641,69357,7,277,50.9,67172,66868,304,49.1
,,,,,,,,,,
Virginia,1264435,972838,959172,2310,11356,76.9,291597,274960,16637,23.1
Washington,1040326,688885,646417,19103,23365,66.2,351441,344220,7221,33.8
West Virginia,301038,284982,277339,4776,2867,94.7,16056,15960,96,5.3
Wisconsin,1055470,862819,838339,17944,6536,81.7,192651,188362,4289,18.3
Wyoming,144190,92530,92007,295,228,64.2,51660,51644,16,35.8
