Bureau of Justice Statistics,,,,,,,,,,,
Filename: jeee16t17.csv,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 66 large city governments, March 2016",,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,
,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 66 large city governments, March 2016",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,Sworn,,,,,,Nonsworn,,,,
,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,
City,Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total,Full-time only,Number,Percent of total police protection full-time equivalent,March payrolls
"Albuquerque, NM",1080,1080,1080,70.5,8812,8159,542,375,452,29.5,2570
"Anaheim, CA",352,352,352,62.2,4377,12434,245,151,214,37.8,1526
"Arlington, TX",724,721,722,83.4,4744,6571,203,108,144,16.6,464
"Atlanta, GA",1903,1903,1903,81.9,9051,4756,420,420,420,18.1,1973
"Aurora, CO",684,684,684,77.6,5048,7380,198,195,197,22.4,904
"Austin, TX",1808,1808,1808,75.5,16612,9188,590,580,587,24.5,2478
,,,,,,,,,,,
"Bakersfield, CA",390,390,390,72.2,3194,8191,158,144,150,27.8,623
"Baltimore, MD",2803,2803,2803,75.9,22865,8157,1098,685,890,24.1,2800
"Baton Rouge, LA",1106,1106,1106,75.6,4740,4286,442,260,356,24.4,936
"Boston, MA",2179,2179,2179,79.1,24381,11189,722,540,576,20.9,3319
"Buffalo, NY",709,709,709,79.6,5693,8029,182,182,182,20.4,880
"Charlotte, NC",1749,1725,1749,73.5,9487,5459,619,585,632,26.5,2221
,,,,,,,,,,,
"Chicago, IL",11831,11831,11831,91.2,86416,7304,1472,716,1148,8.8,6129
"Cleveland, OH",1422,1421,1422,78,8634,6075,662,359,401,22,2056
"Cincinnati, OH",1055,1055,1055,84.8,6704,6354,212,131,189,15.2,675
"Colorado Springs, CO",620,620,620,62.3,4474,7215,400,329,375,37.7,1630
"Columbus, OH",1885,1885,1885,83.7,14031,7444,369,360,366,16.3,1860
"Corpus Christi, TX",456,456,456,70.5,3119,6840,193,188,191,29.5,661
,,,,,,,,,,,
"Dallas, TX",3485,3485,3485,86.2,22859,6559,561,560,560,13.8,2335
"Denver, CO",1488,1488,1488,68.2,12369,8313,718,659,694,31.8,3665
"Detroit, MI",2795,2795,2795,87.7,19545,6993,393,393,393,12.3,2105
"El Paso, TX",1022,1022,1022,82.6,5627,5506,216,216,216,17.4,625
"Fort Worth, TX",1634,1633,1633,76.6,10928,6691,642,451,498,23.4,1685
"Fresno, CA",735,735,735,72.3,6211,8450,289,254,281,27.7,1137
,,,,,,,,,,,
"Honolulu, HI",2193,2193,2193,78.2,17630,8039,666,602,613,21.8,2410
"Houston, TX",5209,5209,5209,80.3,37052,7113,1282,1280,1281,19.7,4902
"Indianapolis, IN",1235,1235,1235,65.4,7095,5745,701,643,654,34.6,1986
"Jacksonville, FL",1584,1584,1584,74.6,7739,4886,539,539,539,25.4,2084
"Kansas City, MO",1332,1332,1332,70.3,3872,2907,562,562,562,29.7,1105
"Las Vegas, NV",56,56,56,100,427,7625,0,0,0,0,0
,,,,,,,,,,,
"Long Beach, CA",850,850,850,74.7,8738,10280,318,243,288,25.3,1530
"Los Angeles, CA",10363,10264,10310,79.3,95499,9287,2697,2696,2697,20.7,19054
"Louisville, KY",1632,1556,1614,97,7868,4976,50,50,50,3,170
"Memphis, TN",2126,2126,2126,79.4,10049,4727,639,347,550,20.6,1834
"Mesa, AZ",724,724,724,60.4,5210,7197,478,463,475,39.6,2575
"Miami, FL",1033,993,1011,70.7,5417,5408,418,416,418,29.3,2513
,,,,,,,,,,,
"Milwaukee, WI",1897,1897,1897,79.9,12992,6849,609,410,476,20.1,1642
"Minneapolis, MN",886,886,886,71.4,6327,7141,355,355,355,28.6,1693
"Nashville, TN",1340,1340,1340,72.3,7264,5421,610,436,514,27.7,1927
"New Orleans, LA",1502,1502,1502,96.8,6355,4231,53,46,49,3.2,198
"New York, NY",50085,47733,49146,92.8,351077,7284,3858,3675,3785,7.2,27044
"Newark, NJ",1048,1048,1048,88.1,5235,4996,221,84,142,11.9,356
,,,,,,,,,,,
"Oakland, CA",735,735,735,61.5,8785,11952,517,396,460,38.5,2951
"Oklahoma City, OK",1077,1077,1077,78.6,7884,7321,381,247,294,21.4,1542
"Omaha, NE",848,808,826,84.1,5791,7075,169,140,156,15.9,615
"Philadelphia, PA",6331,6331,6331,85.8,46246,7305,1649,793,1047,14.2,4457
"Phoenix, AZ",2955,2955,2955,74.5,21952,7429,1022,1006,1010,25.5,4678
"Pittsburgh, PA",856,856,856,83.8,6277,7333,190,73,166,16.2,406
,,,,,,,,,,,
"Portland, OR",912,911,912,70,7246,7947,394,385,390,30,2285
"Raleigh, NC",819,770,790,88.3,3668,4696,107,102,105,11.7,482
"Riverside, CA",379,379,379,67,3182,8397,216,174,187,33,1031
"Sacramento, CA",649,641,645,65.2,7676,11910,426,296,344,34.8,2191
"San Antonio, TX",1944,1944,1944,73.9,15520,7983,796,583,685,26.1,2264
"San Diego, CA",1884,1875,1880,78,16762,8926,644,489,530,22,3182
,,,,,,,,,,,
"San Francisco, CA",2521,2479,2526,87.5,28465,11411,361,361,361,12.5,2425
"San Jose, CA",997,997,997,68.4,8843,8870,571,299,461,31.6,2422
"Santa Ana, CA",390,390,390,77.1,4334,11112,182,93,116,22.9,811
"Seattle, WA",1374,1373,1374,70,14627,10650,584,557,590,30,3666
"St Louis, MO",1292,1292,1292,76.1,6905,5344,406,406,406,23.9,1867
"Tampa, FL",955,916,951,79.1,7147,7706,253,246,252,20.9,1075
,,,,,,,,,,,
"Toledo, OH",618,618,618,91,3593,5814,61,61,61,9,215
"Tucson, AZ",931,930,930,70.3,5953,6400,398,376,392,29.7,1995
"Tulsa, OK",756,756,756,85.2,4601,6085,169,123,131,14.8,518
"Virginia Beach, VA",918,866,891,98.2,4462,5077,17,16,16,1.8,110
"Washington, DC",3766,3766,3766,86.6,28822,7653,584,583,584,13.4,3829
"Wichita, KS",572,572,572,70.7,3323,5809,240,216,237,29.3,971
Note: Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.,,,,,,,,,,,
