Bureau of Justice Statistics,,,,,,,,
Filename: jeee16t18.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 11/07/2019,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
,,,,"Expenditures, fiscal 2016 (thousands of dollars)",,,,
,,"Personal income, calendar year 2016/a",,All functions,,,Full-time equivalent employment 3/1/2016,
State,Estimated population as of 7/1/2016 (thousands),Amount (millions of dollars),Per capita,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
Total,323071,16115630,49883,2225106823,1692408177,1894908503,4360635,4313151
,,,,,,,,
Alabama,4865,190991,39258,29747318,23075269,25884491,90141,89324
Alaska,742,41461,55877,12359938,10321860,10797248,25073,25073
Arizona,6945,280988,40459,41770242,30865872,37473331,72316,72311
Arkansas,2990,118770,39722,22881728,16998888,20941267,62476,62476
California,39209,2259414,57625,327898213,224385818,277068872,414679,414679
,,,,,,,,
Colorado,5541,289621,52269,34282697,26971950,28786175,87844,87844
Connecticut,3579,249513,69716,31918825,26480595,26645799,62863,62863
Delaware,949,45917,48385,9400299,7888494,8561860,25881,24977
Florida,20630,953261,46208,87924052,67516186,78432120,178571,177803
Georgia,10305,439574,42656,47487009,35651377,41028179,128151,128151
,,,,,,,,
Hawaii,1428,72650,50875,12191854,12056921,10806661,58777,58777
Idaho,1683,68055,40437,9225494,6948196,8009207,24025,23778
Illinois,12827,673529,52509,77826113,59716975,62199510,123611,123611
Indiana,6633,289164,43595,39222656,29510975,36277220,89278,89278
Iowa,3132,145157,46346,23381086,17910357,20625103,51005,51005
,,,,,,,,
Kansas,2911,138106,47443,18664920,13865290,16772462,52118,52118
Kentucky,4438,175013,39435,35147233,30366803,30690712,85606,85606
Louisiana,4678,199543,42656,31218602,25452596,26756017,73796,73796
Maine,1331,59577,44761,9330098,8041319,8309131,20647,20637
Maryland,6005,353880,58931,43758668,34360392,37862111,85928,85224
,,,,,,,,
Massachusetts,6826,444813,65165,63568628,54488121,53602862,99315,98832
Michigan,9952,444532,44668,70110424,49292114,61174932,144350,144350
Minnesota,5523,291362,52754,46594683,33451036,40727775,82697,79714
Mississippi,2988,106915,35781,22108192,16856220,19183062,56841,56573
Missouri,6087,265495,43617,32402563,26229827,27822110,87140,87140
,,,,,,,,
Montana,1041,45747,43945,7083842,5989504,6038955,20392,20360
Nebraska,1906,94731,49701,10941892,8524386,10199442,31924,31924
Nevada,2920,130757,44780,15229381,10799900,12597653,28314,28279
New Hampshire,1342,76247,56816,7610619,7150019,6312616,19092,18416
New Jersey,8875,555805,62626,72064882,60392564,55934096,139043,127857
,,,,,,,,
New Mexico,2093,81185,38789,20029868,15043862,17705835,45775,45775
New York,19642,1208346,61518,194242569,132602950,153828191,242184,224537
North Carolina,10157,433766,42706,53398099,40539361,47180708,140047,140047
North Dakota,754,39766,52740,8153778,6042062,7130916,19321,19321
Ohio,11635,525057,45127,86698956,68146800,68643442,137846,137846
,,,,,,,,
Oklahoma,3927,165107,42044,24746006,20287084,21023323,68649,67998
Oregon,4091,189644,46356,33938756,28387103,28101423,68128,67951
Pennsylvania,12784,657165,51405,96292444,76241847,80999093,162573,157985
Rhode Island,1057,53731,50833,8566490,7329616,7131374,18302,17512
South Carolina,4958,199942,40327,31606505,25212573,26615830,79917,78123
,,,,,,,,
South Dakota,863,41789,48423,5071455,4296396,4532886,14106,14106
Tennessee,6645,292120,43961,32336553,24718851,29716590,78599,78599
Texas,27937,1287687,46093,145589993,113826548,127502940,309862,309862
Utah,3043,128407,42198,19284874,15772916,17239697,57733,57347
Vermont,624,31572,50596,6728460,4956870,6264497,14388,14336
,,,,,,,,
Virginia,8411,448684,53345,52932360,40465383,46966824,126741,124680
Washington,7295,404232,55412,52909566,41035383,45683097,126970,126870
West Virginia,1831,67583,36910,14542974,12157661,12780077,41422,41340
Wisconsin,5773,273788,47426,38230825,29198462,32864656,72676,72676
Wyoming,584,32435,55539,6454141,4586625,5476125,13502,13464
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2018 (NST-EST2018-01), December 2018.",,,,,,,,
"a/""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, September 2018.",,,,,,,,
"b/""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/""General functions only"" FTE excludes utilities, and state-operated liquor stores.",,,,,,,,
