Bureau of Justice Statistics,,,,,,
Filename: jeee16t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/07/2019,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
,,"Expenditures, fiscal 2016 (thousands of dollars)",,,"Full-time equivalent employment, March 2016",
,,All functions,,,,
County,Population 2016/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
"Alameda, CA",1653236,4056392,4021112,3558732,13336,13336
"Allegheny, PA",1227553,1796350,1764974,1676015,6374,6374
"Anne Arundel, MD",568916,2467533,2425408,2324947,17140,17065
"Arapahoe, CO",636949,365350,364087,332993,2335,2335
"Baltimore, MD",831431,3885847,3810468,3434969,26852,26852
"Bergen, NJ",942387,1234448,1192288,1234448,4736,4736
"Bernalillo, NM",675588,329165,319264,329165,2478,2478
,,,,,,
"Bexar, TX",1927747,2052475,2018279,2052364,12419,12419
"Brevard, FL",577899,529953,522153,488575,4042,3906
"Bristol, MA",558312,58508,58507,21435,147,147
"Broward, FL",1917122,2355285,2355285,2114631,11068,9824
"Bucks, PA",626751,466854,463439,463439,2623,2623
"Camden, NJ",510741,596891,553888,596891,3806,3806
"Clark, NV",2156724,4990140,4943570,4405626,19986,18505
,,,,,,
"Cobb, GA",750477,1188885,1095299,943169,4624,4426
"Collin, TX",942453,253545,253545,253545,1959,1959
"Contra Costa, CA",1138645,3430585,3368277,3025055,8051,8051
"Cook, IL",5231356,4731393,4720878,3940470,21459,21459
"Cuyahoga, OH",1253454,2221607,2186277,2221607,14424,14424
"Dade, FL",2736543,8205755,8205755,7314836,37680,33035
"Dallas, TX",2587462,3095829,3095829,3046438,19267,19267
,,,,,,
"DeKalb, GA",746690,1150544,1150544,807781,6196,5900
"Delaware, PA",563995,705974,698638,673868,2721,2721
"Denton, TX",808299,278604,275456,278604,2025,2025
"Douglas, NE",555894,388644,388644,364367,3070,3070
"Du Page, IL",931153,384430,371023,381412,2398,2396
"El Paso, CO",686706,340334,340287,313000,2583,2583
"El Paso, TX",837147,839386,839386,835921,5600,5600
,,,,,,
"Erie, NY",923116,2355847,1638738,2314303,8986,8764
"Essex, NJ",803876,961676,895020,958155,4728,4728
"Fairfax, VA",1144636,6429630,6302183,5382828,43803,43356
"Fort Bend, TX",741958,361458,361458,361458,2456,2439
"Franklin, OH",1269998,1652311,1652311,1645310,6146,6146
"Fresno, CA",979534,1912571,1859511,1655571,8182,8182
"Fulton, GA",1024248,1116963,1015639,896012,5054,5018
,,,,,,
"Gwinnet, GA",907101,1334661,1298629,1012300,5073,4855
"Hamilton, OH",810087,1133946,1027140,1133946,4786,4786
"Harris, TX",4617041,5024688,5024624,4977832,27963,27947
"Hennepin, MN",1237027,2626173,2539587,2540149,7813,7813
"Hidalgo, TX",850187,378960,377969,378960,2208,2208
"Hillsborough, FL",1381627,1905224,1886219,1625339,9426,9043
"Hudson, NJ",686391,912153,673938,909274,4365,4365
,,,,,,
"Jackson, MO",693115,252035,252035,240967,1126,1126
"Jefferson, AL",659747,519503,519503,461624,2808,2808
"Jefferson, CO",570839,411602,390209,411602,3124,3124
"Johnson, KS",584716,541267,463870,532562,3578,3568
"Kane, IL",532553,207385,207304,207385,1350,1347
"Kent, MI",642909,677998,677998,612278,1960,1960
"Kern, CA",885086,2289217,2200567,2014573,9740,9740
,,,,,,
"King, WA",2155962,3052334,3051379,2216378,13411,9191
"Lake, IL",704935,509087,508930,499809,2502,2466
"Lake, IN",486592,222764,219739,222542,2428,2428
"Lancaster, PA",539137,367374,366919,367063,1754,1754
"Lee, FL",722506,884178,879538,805772,4630,4218
"Los Angeles, CA",10150558,24611192,24215092,21638456,102976,102879
"Macomb, MI",867503,1092743,1072703,1029466,2516,2516
,,,,,,
"Maricopa, AZ",4233383,1875147,1651936,1875147,13201,13201
"Mecklenburg, NC",1057237,2848173,2775253,2712097,26934,26934
"Middlesex, NJ",839986,721864,714486,721864,3706,3706
"Milwaukee, WI",955369,1608106,1608106,1232071,6781,5736
"Monmouth, NJ",626782,689253,654809,689213,4244,4244
"Monroe, NY",747326,1978626,1293659,1960324,5624,5416
"Montgomery, MD",1048332,7856286,7736076,6677526,37567,36726
,,,,,,
"Montgomery, OH",531395,493644,465594,462565,4417,4247
"Montgomery, PA",820656,549085,529068,544813,3344,3344
"Multnomah, OR",801539,1105616,1070504,1105616,4941,4941
"Nassau, NY",1365857,4219962,3874500,4128408,13499,13499
"New Castle, DE",557851,371461,371461,333688,1659,1659
"Norfolk, MA",696818,103552,103552,41651,205,205
"Oakland, MI",1245762,1221485,1188839,1125330,3989,3989
"Ocean, NJ",592944,571315,567684,571255,3438,3313
,,,,,,
"Oklahoma, OK",784208,141810,141810,139988,1984,1984
"Orange, CA",3177703,4258491,4145498,3582245,19620,19603
