Bureau of Justice Statistics,,,,,,
Filename: jeee16t20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/07/2019,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
,,"Expenditures, fiscal year 2016 (thousands of dollars)",,,,
,,All functions,,,"Full-time equivalent employment, March 2016",
City,"Population, 2016/a",Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
"Albuquerque, NM",557509,826450,826450,826450,6663,5950
"Anaheim, CA",351661,824457,815396,824457,2285,1935
"Arlington, TX",394017,439306,439306,439306,2592,2449
"Atlanta, GA",472967,1975351,1975351,1699733,8266,8065
"Aurora, CO",362036,548692,523727,528363,2750,2389
"Austin, TX",938200,2158581,2158581,1905350,13481,11219
,,,,,,
"Bakersfield, CA",376944,450991,450991,450991,1516,1490
"Baltimore, MD",616958,3880490,3841664,3530800,25709,24197
"Baton Rouge, LA",227352,1188821,1172647,1110291,6816,6540
"Boston, MA",678430,3982930,3781694,3433895,20087,19868
"Buffalo, NY",258463,1405385,1403777,1405385,8973,8863
"Charlotte, NC",843484,1412515,1400135,1383766,7684,6504
,,,,,,
"Chicago, IL",2720275,9878480,9878480,7931156,31625,29787
"Cleveland, OH",387451,826992,823600,826992,7186,6038
"Cincinnati, OH",299127,1004984,1004984,841351,5355,4601
"Colorado Springs, CO",457600,477061,429867,477061,6726,5143
"Columbus, OH",863741,1565709,1564277,1565709,8418,7814
"Corpus Christi, TX",325763,442789,437459,432070,2844,2549
,,,,,,
"Dallas, TX",1322140,3578003,3566621,3105174,14836,13580
"Denver, CO",694777,2695342,2685866,2477670,13128,12017
"Detroit, MI",675480,2522753,2512495,1913489,11759,9124
"El Paso, TX",680797,861498,861295,737720,6171,5403
"Fort Worth, TX",855504,1379850,1379850,1227551,6455,5905
"Fresno, CA",522792,666957,665342,556655,3232,2601
,,,,,,
"Honolulu, HI",992761,1745085,1745085,1745085,10426,9857
"Houston, TX",2304482,4643526,4607032,4023459,21671,21071
"Indianapolis, IN",867071,3141555,3140704,3129173,13859,12294
"Jacksonville, FL",880893,2013402,2009180,1681014,9672,7726
"Kansas City, MO",482118,1822350,1822350,1656806,6289,5649
"Las Vegas, NV",631710,813542,664296,813542,2809,2809
,,,,,,
"Long Beach, CA",470852,1697992,1697992,1697992,5355,4289
"Los Angeles, CA",3981116,12427315,12427315,10128220,53297,43985
"Louisville - Jefferson, KY",767335,1164322,1143747,1161632,7948,6904
"Memphis, TN",653369,1304780,1304702,1023217,10523,7422
"Mesa, AZ",487376,642196,642196,642196,3666,3389
"Miami, FL",456632,1069166,1069136,854931,3839,3839
,,,,,,
"Milwaukee, WI",597508,1436885,1436885,1099529,6486,6189
"Minneapolis, MN",415622,1096702,1096702,1096702,5188,4942
"Nashville, TN",688901,2744766,2743069,2499596,21320,19854
"New Orleans, LA",393021,1650607,1650607,1597172,6138,5200
"New York, NY",8615426,106291034,100037863,93981079,425913,374886
"Newark, NJ",284386,846843,798489,845192,3737,3604
,,,,,,
"Oakland, CA",421566,1604248,1604248,1545807,4185,4185
"Oklahoma City, OK",639163,1123721,1123721,1069695,4634,4091
"Omaha, NE",465233,670809,656124,562231,2877,2877
"Philadelphia, PA",1574765,7546603,7496473,6561051,30017,27078
"Phoenix, AZ",1602042,2569738,2560459,2353644,13306,12226
"Pittsburgh, PA",305017,775183,775183,684754,3318,3318
,,,,,,
"Portland, OR",641494,1451628,1451628,1335454,6233,5676
"Raleigh, NC",459048,604323,604323,601326,4227,3714
"Riverside, CA",324336,541349,541349,541349,2402,1949
"Sacramento, CA",494894,1082831,1082831,1049603,4068,3748
"San Antonio, TX",1487738,2426311,2426311,2275571,15001,10528
"San Diego, CA",1406682,3245315,3245315,2847500,10387,9638
,,,,,,
"San Francisco, CA",876103,9184650,9182722,7928504,32514,25210
"San Jose, CA",1031942,1942977,1942977,1582719,5091,4882
"Santa Ana, CA",334953,367428,367428,367428,1137,1057
"Seattle, WA",707255,2477205,2278142,2301718,11915,9097
"St. Louis, MO",313144,1092626,1092626,929074,5835,5529
"Tampa, FL",376047,849392,849392,723746,4104,3755
,,,,,,
"Toledo, OH",278606,459688,428690,459688,2677,2370
"Tucson, AZ",531547,802465,801951,732019,4964,4462
"Tulsa, OK",403333,740236,740236,703872,3752,3213
"Virginia Beach, VA",451404,1851258,1831390,1851258,17500,17214
"Washington, DC",684336,13019835,13019835,12770520,35531,35096
"Wichita, KS",390116,651357,651357,584689,2959,2702
"a/ Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/ ""Total general expenditure"" excludes utilities, city-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and city-operated liquor stores.",,,,,,
